0	69	93	41	67	23	85	26	32	56	82	69	76	39	65	15	99	83	58	6	58	7	53	49	37	4	89	47	32	20	21	39	13	34	69	29	20	30	21	25	38	48	73	11	55	52	37	75	40	68	
69	0	29	36	17	59	43	95	38	23	35	31	36	32	6	84	32	21	34	73	10	69	86	34	88	69	92	24	36	66	49	41	68	44	68	97	87	42	89	61	77	51	32	79	63	56	83	42	33	5	
93	29	0	54	44	78	30	118	65	38	24	31	30	54	35	108	5	10	63	98	37	95	97	63	104	93	89	46	62	86	72	70	95	62	69	119	109	70	112	89	92	61	29	102	70	85	98	37	62	34	
41	36	54	0	44	24	44	64	26	16	41	28	34	7	35	55	60	43	49	46	27	44	51	40	51	39	66	12	18	31	20	38	47	8	41	65	54	30	58	47	41	18	31	48	31	59	46	35	30	38	
67	17	44	44	0	62	60	94	34	35	53	47	53	38	12	82	47	38	19	69	18	65	95	21	92	68	106	32	36	69	50	32	63	51	81	96	86	37	88	53	84	61	48	78	74	41	88	58	27	11	
23	59	78	24	62	0	65	41	32	40	63	50	56	26	56	33	84	67	61	29	48	29	36	51	29	20	67	34	27	7	14	44	34	15	45	42	31	33	35	41	22	25	53	26	32	63	26	54	40	59	
85	43	30	44	60	65	0	106	66	33	7	17	10	49	48	99	35	26	76	91	45	89	74	72	85	83	59	43	60	72	65	75	91	51	42	107	96	71	100	90	72	42	14	92	46	94	79	11	66	49	
26	95	118	64	94	41	106	0	59	80	105	92	97	64	91	11	124	108	85	25	85	29	53	75	32	26	97	72	59	34	46	65	34	56	81	3	10	57	6	47	43	65	95	16	68	75	37	95	67	94	
32	38	65	26	34	32	66	59	0	33	61	49	56	18	33	48	70	55	29	35	28	31	68	19	61	34	91	23	7	38	18	12	30	27	67	61	52	5	53	24	55	43	52	43	55	33	58	58	8	36	
56	23	38	16	35	40	33	80	33	0	28	16	23	17	24	71	43	27	46	61	17	58	64	40	67	55	70	10	27	48	34	42	59	24	46	81	70	38	74	57	56	28	19	64	40	62	62	26	33	26	
82	35	24	41	53	63	7	105	61	28	0	13	7	44	40	96	29	18	69	88	38	86	76	65	86	81	65	38	55	71	61	69	87	48	46	105	95	66	98	85	72	42	9	89	48	88	79	13	60	41	
69	31	31	28	47	50	17	92	49	16	13	0	7	32	34	83	37	22	61	75	30	73	66	56	74	68	62	26	43	58	48	58	74	35	40	92	82	54	85	73	61	30	3	76	38	78	68	11	49	36	
76	36	30	34	53	56	10	97	56	23	7	7	0	39	40	89	35	23	67	81	36	79	68	63	78	74	59	33	50	63	55	65	81	41	39	98	87	61	91	80	65	34	4	82	40	85	72	7	56	41	
39	32	54	7	38	26	49	64	18	17	44	32	39	0	30	54	59	43	41	44	22	41	57	33	55	38	74	8	11	34	18	30	42	13	49	65	55	23	58	41	46	26	35	48	39	52	51	40	22	33	
