0	78	74	72	49	19	84	40	38	85	75	87	76	38	55	69	41	70	74	66	
78	0	53	18	80	70	12	61	39	15	19	12	21	85	73	77	69	74	27	22	
74	53	0	34	43	56	47	35	48	68	69	52	71	102	32	27	92	23	26	32	
72	18	34	0	65	60	14	48	34	33	35	19	37	88	56	59	74	56	9	6	
49	80	43	65	0	30	80	20	51	94	89	85	91	86	12	24	84	27	61	60	
19	70	56	60	30	0	74	21	31	80	72	78	73	55	35	49	54	51	60	54	
84	12	47	14	80	74	0	62	46	24	31	5	33	95	71	72	80	69	21	20	
40	61	35	48	20	21	62	0	31	75	69	67	71	73	18	30	68	31	45	41	
38	39	48	34	51	31	46	31	0	49	40	49	42	55	48	58	44	57	39	29	
85	15	68	33	94	80	24	75	49	0	12	21	13	86	87	92	68	89	42	37	
75	19	69	35	89	72	31	69	40	12	0	29	2	73	84	90	56	87	44	36	
87	12	52	19	85	78	5	67	49	21	29	0	31	97	76	78	81	74	26	25	
76	21	71	37	91	73	33	71	42	13	2	31	0	73	86	92	56	89	47	39	
38	85	102	88	86	55	95	73	55	86	73	97	73	0	90	104	17	104	93	83	
55	73	32	56	12	35	71	18	48	87	84	76	86	90	0	13	86	16	51	51	
69	77	27	59	24	49	72	30	58	92	90	78	92	104	13	0	99	4	51	55	
41	69	92	74	84	54	80	68	44	68	56	81	56	17	86	99	0	99	80	70	
70	74	23	56	27	51	69	31	57	89	87	74	89	104	16	4	99	0	48	52	
74	27	26	9	61	60	21	45	39	42	44	26	47	93	51	51	80	48	0	10	
66	22	32	6	60	54	20	41	29	37	36	25	39	83	51	55	70	52	10	0
